0,1,2,postag
1,Sementara,O,SC
1,itu,O,PR
1,Pengamat,O,NNP
1,Pasar,O,NNP
1,Modal,O,NNP
1,Dandossi,PER,NNP
1,Matram,PER,NNP
1,mengatakan,O,VB
1,",",O,Z
1,sulit,O,JJ
1,bagi,O,IN
1,sebuah,O,NND
1,kantor,ORG,NN
1,akuntan,ORG,NN
1,publik,ORG,NN
1,(,O,Z
1,KAP,ORG,NN
1,),O,Z
1,untuk,O,SC
1,dapat,O,MD
1,menyelesaikan,O,VB
1,audit,O,NN
1,perusahaan,O,NN
1,sebesar,O,JJ
1,Telkom,ORG,NNP
1,dalam,O,IN
1,waktu,O,NN
1,3,O,CD
1,bulan,O,NN
1,.,O,Z
2,Telkom,ORG,NNP
2,akan,O,MD
2,melakukan,O,VB
2,RUPS,O,NNP
2,pada,O,IN
2,30,TIM,CD
2,Juli,TIM,NNP
2,2004,TIM,CD
2,yang,O,SC
2,selain,O,JJ
2,melaporkan,O,VB
2,kinerja,O,NN
2,2003,O,CD
2,juga,O,RB
2,akan,O,MD
2,meminta,O,VB
2,persetujuan,O,NN
2,untuk,O,SC
2,pemecahan,O,NN
2,nilai,O,NN
2,nominal,O,JJ
2,saham,O,NN
2,atau,O,CC
2,stock,O,NN
2,split,O,JJ
2,1:2,O,CD
2,.,O,Z
3,Sehubungan,O,NN
3,dengan,O,IN
3,hal,O,NN
3,tersebut,O,PR
3,",",O,Z
3,saat,O,NN
3,ini,O,PR
3,addendum,O,NN
3,(,O,Z
3,perubahan,O,NN
3,),O,Z
3,terhadap,O,IN
3,perjanjian,O,NN
3,perpanjangan,O,NN
3,sewa,O,NN
3,jaringan,O,NN
3,PT,ORG,NNP
3,PSN,ORG,NNP
3,oleh,O,IN
3,KPU,ORG,NNP
3,sedang,O,MD
3,dalam,O,IN
3,proses,O,NN
3,pertimbangan,O,NN
3,.,O,Z
4,Terutama,O,JJ
4,mengenai,O,IN
4,langganan,O,NN
4,bulanan,O,NN
4,leased,O,FW
4,line,O,FW
4,channel,O,FW
4,untuk,O,SC
4,ruas,O,VB
4,Lemah,LOC,NNP
4,Abang,LOC,NNP
4,-,O,NNP
4,Slipi,LOC,NNP
4,(,O,Z
4,Jakarta,LOC,NNP
4,-,O,NNP
4,Excelcom,ORG,NNP
4,),O,Z
4,dan,O,CC
4,Lemah,LOC,NNP
4,Abang,LOC,NNP
4,-,O,NNP
4,Imam,LOC,NNP
4,Bonjol,LOC,NNP
4,(,O,Z
4,Jakarta,LOC,NNP
4,-,O,NNP
4,Telkom,ORG,NNP
4,),O,Z
4,untuk,O,SC
4,tiga,O,CD
4,bulan,O,NN
4,ke,O,IN
4,depan,O,NN
4,yang,O,SC
4,sudah,O,MD
4,berakhir,O,VB
4,sejak,O,IN
4,30,TIM,CD
4,April,TIM,NNP
4,2004,TIM,CD
4,.,O,Z
5,Sebab,O,SC
5,ia,O,PRP
5,ingin,O,RB
5,memperkenalkan,O,VB
5,usahanya,O,RB
5,kepada,O,IN
5,masyarakat,O,NN
5,Maluku,LOC,NN
5,",",O,Z
5,khususnya,O,RB
5,para,O,DT
5,pengguna,O,NN
5,telepon,O,NN
5,rumah,O,NN
5,.,O,Z
5,Dengan,O,SC
5,meyakinkan,O,VB
5,",",O,Z
5,si,O,VB
5,kelompok,O,NN
5,penipu,O,JJ
5,menyediakan,O,VB
5,surat,O,NN
5,kontrak,O,NN
5,berikut,O,NN
5,kwitansi,O,NN
5,pembayaran,O,NN
5,serta,O,CC
5,surat,O,NN
5,perjanjian,O,NN
5,yang,O,SC
5,berlogokan,O,VB
5,PT,O,NNP
5,.,O,Z
6,Menurut,O,IN
6,Laks,PER,NNP
6,",",O,Z
6,status,O,NN
6,multi-listing,O,NN
6,bagi,O,IN
6,Telkom,ORG,NNP
6,penting,O,JJ
6,dalam,O,IN
6,rangka,O,NN
6,menjaga,O,VB
6,citra,O,NN
6,perseroan,O,NN
6,",",O,Z
6,walaupun,O,SC
6,sebetulnya,O,RB
6,saham,O,NN
6,Telkom,ORG,NNP
6,bisa,O,MD
6,diserap,O,VB
6,investor,O,NN
6,lokal,O,JJ
6,.,O,Z
7,PT,ORG,NNP
7,Telekomunikasi,ORG,NNP
7,Indonesia,ORG,NNP
7,Tbk,ORG,NNP
7,(,O,Z
7,Telkom,ORG,NNP
7,),O,Z
7,akan,O,MD
7,melakukan,O,VB
7,pembiayaan,O,NN
7,kembali,O,VB
7,utang,O,NN
7,(,O,Z
7,debt,O,FW
7,refinancing,O,FW
7,),O,Z
7,dalam,O,IN
7,valuta,O,NN
7,asing,O,JJ
7,(,O,Z
7,valas,O,VB
7,),O,Z
7,",",O,Z
7,guna,O,SC
7,mengurangi,O,VB
7,rugi,O,JJ
7,valas,O,VB
7,akibat,O,NN
7,fluktuasi,O,NN
7,nilai,O,NN
7,tukar,O,VB
7,.,O,Z
8,Per,O,IN
8,semester,O,NN
8,pertama,O,OD
8,2004,O,CD
8,",",O,Z
8,total,O,NN
8,utang,O,NN
8,jangka,O,NN
8,panjang,O,JJ
8,Telkom,ORG,NNP
8,sebesar,O,JJ
8,Rp,O,SYM
8,"20,648",O,CD
8,triliun,O,CD
8,.,O,Z
9,PT,ORG,NNP
9,Telkom,ORG,NNP
9,membutuhkan,O,VB
9,dana,O,NN
9,lebih,O,RB
9,dari,O,IN
9,Rp,O,SYM
9,1,O,CD
9,triliun,O,CD
9,untuk,O,SC
9,melakukan,O,VB
9,penyesuaian,O,NN
9,teknis,O,JJ
9,dan,O,CC
9,sosialisasi,O,NN
9,terhadap,O,IN
9,perubahan,O,NN
9,kode,O,NN
9,akses,O,NN
9,yang,O,SC
9,akan,O,MD
9,mulai,O,VB
9,diberlakukan,O,VB
9,tahun,O,NN
9,depan,O,NN
9,.,O,Z
10,Dengan,O,IN
10,masuknya,O,NN
10,PT,ORG,NNP
10,Indosat,ORG,NNP
10,ke,O,IN
10,dalam,O,NN
10,layanan,O,NN
10,jasa,O,NN
10,telekomunikasi,O,NN
10,dalam,O,IN
10,negeri,O,NN
10,",",O,Z
10,pemerintah,O,NN
10,memutuskan,O,VB
10,untuk,O,SC
10,mengubah,O,VB
10,kode,O,NN
10,akses,O,NN
10,percakapan,O,NN
10,Sambungan,O,NNP
10,Langsung,O,NNP
10,Jarak,O,NNP
10,Jauh,O,NNP
10,(,O,Z
10,SLJJ,O,NNP
10,),O,Z
10,.,O,Z
11,Direktur,O,NNP
11,Utama,O,NNP
11,PT,ORG,NNP
11,Pertamina,ORG,NNP
11,(,O,Z
11,Persero,O,NNP
11,),O,Z
11,Widya,PER,NNP
11,Purnama,PER,NNP
11,membantah,O,VB
11,pihaknya,O,RB
11,menjadi,O,VB
11,penyandang,O,NN
11,dana,O,NN
11,utama,O,JJ
11,mega,O,NN
11,kuis,O,NN
11,"""",O,Z
